,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
333,Infinix,ZEROBOOK 13 Intel Intel,Core i7 13th Gen 13700H,16,512.0,4.2,29.0,DDR5X,16.0,1.0,59990,medium,good
334,ASUS,Vivobook Pro 15,Ryzen 5 Hexa Core 5600HS,8,512.0,4.4,60.0,DDR4,16.0,1.0,59990,medium,good
335,DELL,Inspiron 15 3530,Intel Core i5 13th Gen,8,1000.0,4.1,1.0,DDR4,16.0,1.0,59990,medium,good
336,ASUS,Vivobook 15X (2023,Core i5 13th Gen 1315U,16,512.0,4.2,9.0,DDR4,16.0,1.0,59990,medium,good
337,ASUS,TUF Gaming F15,Core i5 11th Gen 11400H,16,512.0,4.5,60.0,DDR4,16.0,1.0,59990,medium,good
338,ASUS,ROG Ally AMD,Ryzen Z1 Octa Core Extreme,16,512.0,4.6,84.0,DDR5,16.0,1.0,59990,medium,excellent
339,HP,Intel Core i5,Core i5 13th Gen 1335U,8,512.0,4.1,2.0,DDR4,16.0,1.0,59990,medium,good
340,HP,15s (2023,Core i5 13th Gen 1335U,8,512.0,4.2,33.0,DDR4,16.0,1.0,59990,medium,good
341,Lenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512.0,4.2,12.0,DDR5,14.0,1.0,60190,medium,good
342,Lenovo,IdeaPad Slim 5,Ryzen 7 Octa Core 7730U,16,512.0,4.7,4.0,DDR4,14.0,1.0,60190,medium,excellent
343,ASUS,Vivobook Pro 15,Ryzen 7 Octa Core 5800HS,16,512.0,4.4,17.0,DDR4,16.0,1.0,60990,medium,good
344,DELL,Inspiron 5620 Intel,Core i5 12th Gen 1235U,16,512.0,4.2,13.0,DDR5,16.0,1.0,61990,medium,good
345,HP,Pavilion Intel Core,Core i5 12th Gen 1235U,16,512.0,4.3,60.0,DDR4,14.0,1.0,62490,medium,good
346,HP,Pavilion Intel Core,Core i5 11th Gen 1155G7,16,512.0,4.4,25.0,DDR4,14.0,1.0,62754,medium,good
347,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,16,512.0,4.4,74.0,DDR4,16.0,1.0,62900,medium,good
348,ASUS,Intel Core i5,Intel Core i5 13th Gen,16,512.0,4.2,13.0,DDR4,16.0,1.0,62990,medium,good
349,Lenovo,IdeaPad Gaming 3,Core i5 11th Gen 11300H,8,512.0,4.3,46.0,DDR4,16.0,2.0,62990,medium,good
350,Lenovo,IdeaPad Gaming 3,Ryzen 7 Octa Core 6800H,8,512.0,4.5,15.0,DDR5,16.0,2.0,62990,medium,good
351,SAMSUNG,Galaxy Book3 Intel,Core i5 13th Gen 1335U,8,512.0,4.5,110.0,DDR4X,16.0,1.0,62990,medium,good
352,Lenovo,Yoga Slim 6,Core i5 12th Gen 1240P,16,512.0,4.3,60.0,DDR5,14.0,1.0,63400,medium,good
353,HP,AMD Ryzen 7,Ryzen 7 Octa Core 5700U,16,1000.0,4.2,13.0,DDR4,16.0,1.0,63990,medium,good
354,MSI,GF63 Intel Core,Core i7 11th Gen 11800H,16,1000.0,4.3,44.0,DDR4,16.0,2.0,63990,medium,good
355,Lenovo,IdeaPad Flex 5,Ryzen 5 Hexa Core 7530U,16,512.0,4.5,4.0,DDR4X,14.0,2.0,64400,medium,good
356,LG,Gram Intel Core,Core i5 12th Gen 1240P,8,512.0,4.3,60.0,DDR5,14.0,1.0,64762,medium,good
357,MSI,Modern 14 Intel Core,Core i7 13th Gen 1355U,16,512.0,4.1,4.0,DDR4,14.0,1.0,64990,medium,good
358,HP,Intel Core i5,Core i5 13th Gen 1335U,16,512.0,4.1,2.0,DDR4,16.0,1.0,64990,medium,good
359,ASUS,Intel Core i5,Intel Core i5 13th Gen,16,512.0,4.5,2.0,DDR4,16.0,1.0,64990,medium,good
360,HP,Pavilion Intel Core,Core i5 12th Gen 1240P,8,512.0,4.3,61.0,DDR4,16.0,2.0,65490,medium,good
361,Colorful,Evol P-15,Core i5 12th Gen 12450H,16,512.0,4.2,13.0,DDR5,16.0,2.0,65640,medium,good
362,ASUS,Vivobook Pro 15,Ryzen 7 Octa Core 5800HS,16,512.0,4.3,24.0,DDR4,16.0,1.0,65990,medium,good
363,Acer,Swift Go 14,Core i5 13th Gen 13500H,16,512.0,4.4,8.0,DDR5,14.0,1.0,65990,medium,good
364,ASUS,Vivobook S 14,Core i5 12th Gen 12500H,16,512.0,4.3,60.0,DDR4,14.0,1.0,65990,medium,good
365,MSI,Prestige 14 Intel Core,Core i7 10th Gen 10510U,16,512.0,3.9,14.0,DDR4,14.0,1.0,66047,medium,average
366,ASUS,Vivobook 16 (2023,Ryzen 5 Hexa Core 7530U,16,1000.0,4.5,7.0,DDR4,16.0,1.0,66990,medium,good
367,Lenovo,IdeaPad Gaming 3,Core i5 12th Gen 12450H,16,512.0,4.3,58.0,DDR4,16.0,2.0,67990,medium,good
368,MSI,GF63 Intel Core,Core i5 12th Gen 12450H,16,512.0,4.3,11.0,DDR4,16.0,2.0,67990,medium,good
369,DELL,Inspiron 5430 Intel,Intel Core i5 13th Gen,16,512.0,3.9,1.0,DDR5,14.0,1.0,67990,medium,average
370,HP,Victus AMD Ryzen,Ryzen 7 Octa Core 5800H,16,512.0,4.5,60.0,DDR4,16.0,1.0,68990,medium,good
371,Acer,Nitro 5 (2023,Ryzen 5 Hexa Core 7535HS,16,512.0,4.4,4.0,DDR5,16.0,1.0,68990,medium,good
372,HP,Victus AMD Ryzen,Ryzen 7 Octa Core 5800H,16,512.0,4.4,31.0,DDR4,16.0,1.0,68990,medium,good
373,DELL,Inspiron Intel Core,Core i7 13th Gen 1355U,16,512.0,4.2,60.0,DDR4,16.0,1.0,68990,medium,good
374,Lenovo,IdeaPad Slim 5i,Core i5 13th Gen 13500H,16,512.0,4.2,13.0,DDR5,16.0,1.0,69000,medium,good
375,HP,Pavilion Intel Core,Core i5 11th Gen 1135G7,16,512.0,4.5,8.0,DDR4,14.0,1.0,69000,medium,good
376,DELL,Inspiron Intel Core,Core i5 11th Gen 1155G7,16,512.0,4.2,16.0,DDR4,14.0,1.0,69749,medium,good
377,ASUS,Vivobook Pro 15,Core AMD Ryzen 5 5600H,16,512.0,4.2,13.0,DDR4,16.0,1.0,69899,medium,good
378,ASUS,ExpertBook B9 Intel Core,Core i5 10th Gen 10210U,8,512.0,4.2,13.0,DDR3,14.0,1.0,69911,medium,good
379,SAMSUNG,Galaxy Book3 Intel,Core i5 13th Gen 1335U,16,512.0,4.5,110.0,DDR4X,16.0,1.0,69990,medium,good
380,ASUS,TUF Gaming F17,Core i5 12th Gen 12500H,8,512.0,4.6,1.0,DDR4,17.0,1.0,69990,medium,excellent
381,ASUS,Vivobook 16X Intel,Core i5 12th Gen 12500H,8,512.0,4.2,13.0,DDR4,16.0,1.0,69990,medium,good
382,SAMSUNG,Galaxy Book2 Pro,Core i5 12th Gen 1240P,16,512.0,4.6,60.0,DDR5,13.0,1.0,69990,medium,excellent
383,HP,Pavilion Intel Core,Core i5 12th Gen 1235U,16,1000.0,4.3,60.0,DDR4,14.0,1.0,70250,medium,good
384,ASUS,ExpertBook P2 Intel Core,Core i7 10th Gen 10510U,8,1000.0,4.2,13.0,DDR4,14.0,1.0,70279,medium,good
385,ASUS,TUF Gaming F15,Core i5 12th Gen 12500H,16,512.0,4.5,39.0,DDR4,16.0,1.0,70990,medium,good
386,GIGABYTE,G Series Intel,Core i5 12th Gen 12450H,16,512.0,3.9,60.0,DDR4,16.0,2.0,71990,medium,average
387,Lenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512.0,4.2,37.0,DDR5,16.0,1.0,71990,medium,good
388,Acer,Nitro 5 Intel,Core i5 12th Gen 12450H,16,512.0,4.5,65.0,DDR4,16.0,1.0,71999,medium,good
389,Lenovo,Ideapad Gaming 3,Ryzen 5 Hexa Core 5600H,16,512.0,4.4,79.0,DDR4,16.0,1.0,72000,medium,good
390,DELL,Inspiron 5430 Intel,Intel Core i5 13th Gen,16,1000.0,3.9,6.0,DDR5,14.0,1.0,72400,medium,average
391,DELL,G15 Intel Core,Core i5 12th Gen 12500H,16,512.0,4.1,30.0,DDR5,16.0,1.0,72400,medium,good
392,ASUS,VivoBook Gaming Intel,Core i5 9th Gen 9300H,8,1000.0,4.3,26.0,DDR4,16.0,1.0,72500,medium,good
393,Lenovo,ThinkPad E14 Intel,Core i5 12th Gen 1235U,16,1000.0,3.9,1.0,DDR4,14.0,1.0,72990,medium,average
394,HP,Intel Core i5,Core i5 12th Gen 12450H,8,512.0,4.2,13.0,DDR4,16.0,1.0,72990,medium,good
395,ASUS,Vivobook S 14,Core i5 13th Gen 1335U,16,512.0,3.9,60.0,DDR4,14.0,1.0,72990,medium,average
396,Acer,AMD Ryzen 5,Ryzen 5 Hexa Core 6600H,8,1000.0,4.2,13.0,DDR5,16.0,1.0,73039,medium,good
397,ASUS,AMD Ryzen 7,7 Octa Core 10th Gen,16,512.0,4.2,13.0,DDR4,16.0,1.0,73950,medium,good
398,ASUS,Vivobook Pro 15,Ryzen 7 Octa Core 5800HS,16,512.0,4.4,2.0,DDR4,16.0,2.0,73990,medium,good
399,Acer,Nitro V Intel,Core i5 13th Gen 13420H,16,512.0,4.7,60.0,DDR5,16.0,1.0,73990,medium,excellent
400,Acer,Nitro 5 AMD,Ryzen 7 Octa Core 5800H,16,1000.0,4.4,46.0,DDR4,16.0,1.0,73990,medium,good
401,Apple,2020 Macbook Air,2020 Macbook Air Apple M1,8,256.0,4.7,60.0,DDR4,13.0,1.0,73990,medium,excellent
402,HP,Pavilion Intel Core,Core i7 12th Gen 1255U,16,1000.0,4.2,17.0,DDR4,14.0,1.0,74499,medium,good
403,ASUS,AMD Ryzen 7,Octa Core 10th Gen 5800H,16,512.0,4.2,13.0,DDR4,16.0,1.0,74850,medium,good
