,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price
849,HP,Intel Core i7,Core i7 13th Gen 1355U,16,512,,,DDR5,15.6,1,113990
850,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
851,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
852,HP,Pavilion Intel Core,Core i5 11th Gen 1135G7,16,512,4.5187 ,8,DDR4,14,1,69000
853,HP,G8 Intel Core,Core i5 11th Gen 11500,16,512,4.38 ,0,DDR4,15.6,1,46990
854,Lenovo,Ideapad Intel Celeron,Intel Celeron Dual Core N4020,4,64,3.39 ,2,DDR4,11.6,1,15980
855,ASUS,Intel Core i5,Intel Core i5 13th Gen,16,512,,,DDR4,16,,62990
856,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
857,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
858,Lenovo,IdeaPad Slim 3,Core i3 12th Gen 1215U,8,512,4.1660 ,58,DDR4,,2,37900
859,Lenovo,ThinkPad E14 Intel,Core i5 12th Gen 1235U,16,1,3.916 ,1,DDR4,14,1,72990
860,HP,Victus Intel Core,Core i7 12th Gen 12650H,16,512,4.327 ,3,DDR4,15.6,1,81503
861,ASUS,TUF Gaming F15,Core i5 10th Gen 10300H,16,512,4.5886 ,112,DDR4,15.6,1,57999
862,Infinix,X2 Slim Series,Core i5 11th Gen 1155G7,8,512,4.1257 ,43,DDR4X,14,1,32990
863,Infinix,INBook X2 Plus Intel,Core i5 11th Gen 1155G7,16,512,4.3388 ,60,DDR4X,15.6,1,52990
864,MSI,Katana 17 Intel Core,Core i7 12th Gen 12650H,16,1,4.88 ,1,DDR5,17.3,2,149990
865,HP,G Series Intel,Core i3 10th Gen 1005G1,4,512,4.3207 ,14,DDR4,15.6,,31999
866,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
867,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
868,DELL,Inspiron Intel Core,Core i3 11th Gen 1115G4,8,1,4.217 ,0,DDR4,15.6,0191,43500
869,ASUS,Intel Core i5,Intel Core i5 12th Gen,16,512,,1,DDR4,15.6,,52782
